bug_id,feature,severity,status,date_reported,date_resolved,platform,region,assigned_team,bug_type,milestone,priority_level
2462,Careers,High,Resolved,2025-04-18,2025-04-29,Mac,Oceania,LiveOps,Expansion Pack,M7,Low
2463,Multiplayer,Medium,Resolved,2024-09-29,2024-10-13,Mac,Oceania,Expansion Pack,Graphics,M5,Medium
2464,Audio,High,Resolved,2024-08-23,2024-09-01,PC,Europe,UI/UX,Audio,M4,High
2465,Mods & Custom Content,High,Resolved,2025-02-10,2025-03-11,PlayStation,South America,Graphics,Graphics,M3,High
2466,Aging System,High,In Progress,2024-09-25,,Mac,Asia,UI/UX,Audio,M6,Medium
2467,Tutorial,Medium,Resolved,2025-04-16,2025-04-23,PC,Asia,Graphics,Performance,M7,Low
2468,Create-a-Sim,Critical,Resolved,2025-01-26,2025-02-19,PlayStation,Asia,UI/UX,Expansion Pack,M4,Medium
2469,Social Interactions,Medium,Resolved,2024-07-13,2024-07-14,Mac,Africa,Platform,UI,M1,Low
2470,Mods & Custom Content,Low,In Progress,2025-02-08,,PC,Oceania,CAS,Audio,M2,Medium
2471,Graphics,Critical,Resolved,2024-11-19,2024-12-17,Mac,South America,Graphics,Expansion Pack,M1,High
2472,Aspirations,Medium,Resolved,2024-08-24,2024-09-16,PC,Oceania,Build Mode,Expansion Pack,M1,High
2473,World Map,High,Resolved,2025-01-03,2025-01-12,Mac,North America,Expansion Pack,Expansion Pack,M3,Medium
2474,Graphics,Low,New,2024-12-05,,PlayStation,North America,Build Mode,Network,M1,High
2475,Live Mode,Low,In Progress,2024-06-17,,PlayStation,Asia,Platform,Gameplay,M4,Medium
2476,Create-a-Sim,Medium,In Progress,2024-06-07,,PC,Europe,LiveOps,Audio,M3,Medium
2477,Live Mode,Low,Resolved,2024-07-02,2024-07-04,Xbox,Africa,Expansion Pack,Gameplay,M6,Low
2478,Expansion Pack,Low,Resolved,2024-07-02,2024-07-19,Mac,South America,CAS,Mods & Custom Content,M3,Medium
2479,Build Mode,Low,Resolved,2024-05-09,2024-05-11,Xbox,Africa,Expansion Pack,Expansion Pack,M3,Medium
2480,Audio,Low,Resolved,2024-08-24,2024-09-20,PC,Europe,Graphics,Gameplay,M4,High
2481,Graphics,Medium,Resolved,2024-07-29,2024-08-16,PC,South America,UI/UX,Gameplay,M3,Medium
2482,Social Interactions,Low,Resolved,2024-11-01,2024-11-27,Xbox,South America,Graphics,Network,M5,Medium
2483,Social Interactions,Low,Resolved,2024-08-14,2024-09-05,PC,Oceania,Expansion Pack,Graphics,M3,High
2484,Skills,Medium,Resolved,2024-12-31,2025-01-12,PC,Africa,Expansion Pack,Expansion Pack,M3,Medium
2485,UI,Critical,Resolved,2024-08-01,2024-08-13,Mac,Asia,Audio,Expansion Pack,M4,Medium
2486,Pets,Low,Resolved,2024-07-24,2024-08-22,PC,North America,Expansion Pack,Audio,M4,Medium
2487,Graphics,Low,Resolved,2025-02-26,2025-03-26,PlayStation,Europe,Audio,Mods & Custom Content,M2,Medium
2488,UI,Low,Resolved,2025-04-13,2025-05-02,PC,Oceania,Expansion Pack,Graphics,M2,Medium
2489,World Map,Medium,New,2024-12-22,,Mac,North America,Graphics,UI,M1,Medium
2490,Build Mode,Medium,Resolved,2024-05-22,2024-06-07,Mac,Africa,Audio,Mods & Custom Content,M7,Medium
2491,Expansion Pack,Low,Won't Fix,2025-04-05,2025-04-29,PlayStation,Europe,Expansion Pack,Performance,M6,Medium
2492,Build Mode,High,Resolved,2025-01-30,2025-03-01,PC,North America,Graphics,Gameplay,M2,Low
2493,Audio,Low,In Progress,2025-03-20,,PlayStation,Oceania,CAS,Mods & Custom Content,M2,High
2494,Pets,High,New,2025-04-16,,Xbox,South America,UI/UX,Expansion Pack,M1,Medium
2495,Skills,High,Resolved,2025-03-01,2025-03-17,Xbox,Asia,Platform,Expansion Pack,M7,Medium
2496,Aspirations,Medium,Resolved,2024-06-03,2024-06-23,Mac,Europe,CAS,Audio,M1,Low
2497,World Map,Critical,Resolved,2025-02-28,2025-03-05,Xbox,Oceania,Expansion Pack,UI,M7,Medium
2498,Live Mode,Medium,Resolved,2024-07-18,2024-08-10,PlayStation,Europe,LiveOps,Mods & Custom Content,M1,Medium
2499,Create-a-Sim,High,Resolved,2025-01-03,2025-01-25,PlayStation,South America,UI/UX,Gameplay,M3,Low
2500,Mods & Custom Content,Medium,Resolved,2025-02-15,2025-02-17,PC,Africa,LiveOps,Performance,M4,Medium
2501,Aging System,Critical,Resolved,2025-01-21,2025-01-28,Xbox,Africa,Build Mode,UI,M3,Low
2502,Live Mode,Medium,Resolved,2024-12-21,2024-12-28,PC,Asia,Platform,Mods & Custom Content,M5,Low
2503,Seasons,Critical,Won't Fix,2024-10-14,2024-10-22,Xbox,Asia,Build Mode,Performance,M1,High
2504,Social Interactions,Medium,Resolved,2024-11-15,2024-12-01,Mac,Africa,Audio,Audio,M4,Medium
2505,Multiplayer,Critical,Resolved,2024-07-25,2024-08-23,Xbox,Oceania,Audio,Audio,M1,Low
2506,Mods & Custom Content,Low,Resolved,2024-09-16,2024-10-15,Xbox,Oceania,LiveOps,Gameplay,M3,Medium
2507,Bug Fixes,Low,Resolved,2024-09-30,2024-10-01,PlayStation,Asia,Build Mode,Performance,M4,High
2508,Create-a-Sim,High,Resolved,2024-12-05,2024-12-26,Mac,Europe,Expansion Pack,Expansion Pack,M7,Medium
2509,Graphics,High,Resolved,2025-03-06,2025-03-26,PC,North America,LiveOps,Graphics,M5,Low
2510,Live Mode,Medium,Investigating,2024-05-22,,PC,Oceania,LiveOps,Audio,M7,High
2511,UI,Low,New,2024-10-23,,PlayStation,North America,Expansion Pack,Performance,M5,Medium
2512,Audio,High,Resolved,2024-07-28,2024-08-05,Xbox,South America,Platform,Gameplay,M2,Medium
2513,Build Mode,Medium,Won't Fix,2025-03-26,2025-04-13,PC,Europe,Audio,Expansion Pack,M5,Low
2514,Bug Fixes,Low,In Progress,2024-08-31,,Xbox,Oceania,CAS,Mods & Custom Content,M7,Low
2515,Live Mode,Low,Resolved,2025-03-31,2025-04-23,PlayStation,Oceania,Build Mode,UI,M1,High
2516,Aging System,Medium,Resolved,2024-08-15,2024-09-14,PlayStation,Europe,UI/UX,Gameplay,M6,Medium
2517,Social Interactions,High,Resolved,2024-04-18,2024-05-08,PlayStation,Oceania,LiveOps,Gameplay,M4,High
2518,Seasons,Medium,Resolved,2025-01-26,2025-02-18,Xbox,Europe,Build Mode,Expansion Pack,M2,Medium
2519,Build Mode,Low,Resolved,2025-01-11,2025-02-02,Xbox,Oceania,Audio,Mods & Custom Content,M4,Low
2520,Aging System,Medium,Resolved,2025-01-10,2025-01-24,PC,Africa,Build Mode,Mods & Custom Content,M6,Medium
2521,Careers,Low,In Progress,2024-10-02,,PC,South America,CAS,UI,M7,Medium
2522,Tutorial,Medium,Resolved,2024-12-17,2024-12-22,Xbox,Europe,Platform,Network,M5,High
2523,Graphics,Critical,Resolved,2024-08-27,2024-08-28,PlayStation,Oceania,LiveOps,Network,M1,High
2524,World Map,Low,In Progress,2024-05-11,,Xbox,North America,Platform,Network,M4,Medium
2525,Mods & Custom Content,Medium,Won't Fix,2024-10-30,2024-11-02,PlayStation,South America,Expansion Pack,Gameplay,M5,Medium
2526,World Map,Medium,Resolved,2024-07-06,2024-07-10,PC,North America,Expansion Pack,Graphics,M1,Medium
2527,Multiplayer,Medium,Resolved,2024-09-22,2024-10-01,Xbox,Africa,Graphics,Network,M6,Medium
2528,Mods & Custom Content,Medium,Resolved,2024-07-04,2024-07-12,PC,North America,UI/UX,Performance,M3,Medium
2529,Create-a-Sim,Medium,Resolved,2024-07-25,2024-08-11,Mac,Africa,LiveOps,Expansion Pack,M6,Medium
2530,Graphics,Medium,Resolved,2025-02-15,2025-02-21,Mac,North America,LiveOps,Expansion Pack,M2,High
2531,Build Mode,Critical,Resolved,2024-08-19,2024-09-04,PlayStation,Europe,Platform,Expansion Pack,M2,Low
2532,UI,Medium,Investigating,2024-11-15,,PlayStation,North America,Expansion Pack,Mods & Custom Content,M7,Medium
2533,World Map,Low,In Progress,2024-11-11,,PlayStation,South America,Graphics,Audio,M1,Medium
2534,Skills,Medium,Resolved,2024-10-12,2024-10-28,PlayStation,Asia,Build Mode,Audio,M3,Medium
2535,Occults,Critical,Resolved,2024-08-21,2024-09-11,Xbox,Asia,Build Mode,Audio,M5,Low
2536,Skills,Medium,Resolved,2024-12-23,2025-01-16,Xbox,Oceania,Audio,Expansion Pack,M7,Medium
2537,Seasons,Low,Resolved,2024-05-05,2024-05-18,Mac,North America,Graphics,Mods & Custom Content,M3,Medium
2538,World Map,Low,Won't Fix,2024-05-24,2024-06-10,Xbox,Africa,Build Mode,Audio,M3,Low
2539,Tutorial,Medium,Investigating,2025-01-29,,PC,Asia,LiveOps,Audio,M3,Medium
2540,Multiplayer,Medium,Resolved,2024-10-03,2024-10-27,Xbox,South America,Audio,Graphics,M1,Medium
2541,Tutorial,High,Won't Fix,2024-06-02,2024-07-02,PC,Oceania,Graphics,Mods & Custom Content,M2,High
2542,Bug Fixes,Low,Resolved,2025-02-25,2025-03-02,PlayStation,Oceania,LiveOps,UI,M5,High
2543,Skills,Low,Resolved,2024-09-26,2024-10-01,PC,Oceania,Audio,Graphics,M3,High
2544,Expansion Pack,Low,Won't Fix,2024-04-18,2024-04-24,PlayStation,Europe,UI/UX,Performance,M4,Medium
2545,UI,High,Resolved,2025-04-03,2025-04-25,Xbox,Africa,Expansion Pack,UI,M1,Medium
2546,UI,Medium,Resolved,2024-07-01,2024-07-05,PC,Asia,Audio,Expansion Pack,M3,Low
2547,Social Interactions,High,Resolved,2024-12-26,2025-01-04,Xbox,Europe,Expansion Pack,Gameplay,M6,Low
2548,Occults,High,Resolved,2024-06-05,2024-06-13,PlayStation,Asia,CAS,Network,M1,Low
2549,Live Mode,Medium,Resolved,2024-12-11,2024-12-13,PlayStation,North America,UI/UX,Mods & Custom Content,M6,High
2550,UI,Medium,Resolved,2024-06-15,2024-07-12,PC,South America,Audio,Mods & Custom Content,M2,Medium
2551,Aging System,Low,Resolved,2025-03-25,2025-04-09,PC,Europe,UI/UX,Network,M7,Medium
2552,Multiplayer,High,In Progress,2024-07-27,,PlayStation,North America,Audio,Expansion Pack,M1,Medium
2553,Aging System,Low,Won't Fix,2024-12-13,2024-12-30,PC,Africa,LiveOps,Expansion Pack,M5,Low
2554,UI,Critical,Resolved,2024-07-18,2024-08-01,PlayStation,North America,Platform,Mods & Custom Content,M1,Medium
2555,Bug Fixes,Medium,Resolved,2024-09-01,2024-09-12,Mac,Oceania,Platform,Mods & Custom Content,M2,Medium
2556,Graphics,Low,Won't Fix,2025-03-14,2025-03-20,Mac,Africa,LiveOps,Audio,M5,Medium
2557,Mods & Custom Content,Low,Investigating,2024-06-17,,PlayStation,Africa,Build Mode,Expansion Pack,M3,Medium
2558,Multiplayer,High,New,2024-09-10,,Mac,North America,Build Mode,Audio,M2,Medium
2559,Multiplayer,Medium,Resolved,2024-08-07,2024-08-22,PC,North America,Expansion Pack,Audio,M5,Low
2560,Live Mode,Medium,Resolved,2024-12-29,2025-01-07,Mac,Oceania,CAS,UI,M4,High
2561,Create-a-Sim,Medium,Resolved,2024-07-12,2024-08-11,Mac,Oceania,Graphics,Mods & Custom Content,M1,Medium
2562,Bug Fixes,Low,Resolved,2024-12-13,2024-12-14,Xbox,Africa,Audio,Expansion Pack,M7,High
2563,Graphics,High,In Progress,2024-12-31,,PC,South America,Audio,Gameplay,M6,Low
2564,Mods & Custom Content,Low,Resolved,2024-04-18,2024-04-26,Mac,South America,UI/UX,Network,M4,Low
2565,Build Mode,Low,Resolved,2024-10-09,2024-11-03,Xbox,South America,LiveOps,Mods & Custom Content,M6,Low
2566,Live Mode,Low,In Progress,2024-06-05,,Mac,North America,CAS,Audio,M3,Low
2567,Mods & Custom Content,High,New,2024-07-09,,Xbox,Oceania,Build Mode,Mods & Custom Content,M5,Medium
2568,World Map,Medium,In Progress,2024-12-22,,PC,Europe,Expansion Pack,Expansion Pack,M4,Medium
2569,Audio,Low,Resolved,2024-04-21,2024-05-12,Mac,Asia,Platform,Mods & Custom Content,M6,Medium
2570,Mods & Custom Content,Low,Resolved,2024-12-28,2025-01-15,Xbox,Africa,UI/UX,Graphics,M1,High
2571,Aging System,Low,Investigating,2025-02-11,,PC,Asia,UI/UX,UI,M2,Low
2572,Mods & Custom Content,Low,Resolved,2025-04-14,2025-05-02,Mac,Africa,Audio,Network,M7,Low
2573,Live Mode,High,Resolved,2024-09-19,2024-10-07,Xbox,Africa,UI/UX,Expansion Pack,M2,Medium
2574,Live Mode,Medium,Resolved,2024-06-05,2024-06-23,Xbox,Europe,Platform,Graphics,M4,Medium
2575,Social Interactions,Medium,Resolved,2024-05-13,2024-05-23,PC,North America,LiveOps,Network,M2,Low
2576,Pets,Critical,Resolved,2024-09-05,2024-09-09,Xbox,North America,Platform,UI,M3,Medium
2577,Occults,High,New,2025-01-10,,PlayStation,North America,Audio,UI,M4,Low
2578,Bug Fixes,High,Resolved,2024-05-25,2024-06-19,PlayStation,Oceania,CAS,Network,M3,High
2579,Aspirations,Low,Resolved,2024-08-10,2024-08-26,Xbox,North America,Audio,Mods & Custom Content,M4,Medium
2580,Expansion Pack,Medium,Resolved,2025-03-06,2025-03-21,Xbox,Europe,Platform,UI,M5,Medium
2581,Aspirations,Critical,Resolved,2024-06-07,2024-07-01,Xbox,Africa,Build Mode,Graphics,M3,Medium
2582,Seasons,Medium,Resolved,2025-01-26,2025-01-30,PlayStation,North America,Audio,Performance,M2,Medium
2583,World Map,Medium,In Progress,2025-01-18,,PC,Asia,CAS,Expansion Pack,M4,Low
2584,World Map,Critical,Resolved,2024-06-05,2024-06-29,PC,North America,Graphics,Expansion Pack,M7,Low
2585,Skills,Low,Resolved,2025-04-16,2025-05-07,Mac,North America,Platform,Expansion Pack,M2,High
2586,Audio,Low,Resolved,2024-06-09,2024-06-25,Xbox,Africa,Platform,Mods & Custom Content,M1,Low
2587,Build Mode,Low,Won't Fix,2024-10-29,2024-11-23,Mac,South America,Build Mode,Expansion Pack,M6,Low
2588,Bug Fixes,Critical,In Progress,2024-04-21,,Mac,Oceania,UI/UX,Performance,M4,High
2589,Live Mode,Low,Resolved,2024-12-11,2024-12-31,PlayStation,North America,Platform,Performance,M5,Low
2590,Multiplayer,Low,Resolved,2024-09-26,2024-10-02,PC,Africa,Build Mode,Graphics,M1,Medium
2591,Aspirations,Medium,Resolved,2025-01-07,2025-01-26,Xbox,Asia,Graphics,Audio,M7,Medium
2592,Aging System,Medium,Investigating,2024-12-03,,PC,Asia,Audio,Performance,M1,Medium
2593,Careers,Critical,Resolved,2024-06-12,2024-06-30,PlayStation,Africa,UI/UX,Gameplay,M1,Medium
2594,Careers,Medium,Resolved,2024-09-15,2024-10-06,Mac,North America,Platform,UI,M7,Low
2595,Aging System,High,Resolved,2024-12-25,2025-01-06,Xbox,North America,Platform,Audio,M5,Medium
2596,Live Mode,Medium,Resolved,2025-02-26,2025-03-16,Mac,Africa,LiveOps,Expansion Pack,M5,High
2597,Graphics,Medium,Resolved,2024-05-19,2024-05-21,PC,South America,UI/UX,Expansion Pack,M4,Medium
2598,Aspirations,Low,Resolved,2024-05-24,2024-06-16,Mac,South America,UI/UX,UI,M1,Medium
2599,Bug Fixes,Low,New,2025-01-18,,PC,Asia,LiveOps,UI,M4,Medium
2600,Seasons,High,Resolved,2024-11-19,2024-12-13,Mac,Asia,Platform,UI,M6,Medium
2601,Mods & Custom Content,Medium,Resolved,2024-09-05,2024-09-30,PlayStation,Oceania,Build Mode,Performance,M2,High
2602,Aging System,High,Resolved,2025-04-05,2025-05-04,PC,Africa,Audio,Network,M5,High
2603,Audio,High,Resolved,2024-08-11,2024-09-04,Xbox,Europe,UI/UX,Performance,M6,Low
2604,Occults,Low,New,2024-06-08,,PlayStation,Asia,CAS,Gameplay,M7,Low
2605,Expansion Pack,Low,Resolved,2024-07-28,2024-08-06,Mac,North America,Build Mode,Graphics,M7,High
2606,Careers,High,Resolved,2024-05-18,2024-06-04,PC,Oceania,Platform,Audio,M3,High
2607,Audio,Critical,Resolved,2024-11-06,2024-11-21,PC,Africa,Audio,Gameplay,M4,Medium
2608,Live Mode,Medium,Resolved,2024-11-23,2024-11-30,PC,North America,Build Mode,UI,M5,Medium
2609,Pets,Medium,Investigating,2024-11-26,,PC,South America,Build Mode,Audio,M1,Medium
2610,Multiplayer,High,Resolved,2025-01-28,2025-02-02,PlayStation,North America,Build Mode,Graphics,M4,Medium
2611,Careers,Low,Resolved,2024-12-26,2025-01-19,PC,North America,UI/UX,Audio,M3,Low
2612,Audio,Low,Resolved,2025-02-22,2025-03-12,PC,Europe,CAS,UI,M7,High
2613,Aging System,Medium,Resolved,2024-12-14,2025-01-06,PC,North America,Platform,Gameplay,M3,Medium
2614,World Map,Low,Resolved,2024-08-06,2024-08-26,Xbox,Asia,Build Mode,Gameplay,M2,Medium
2615,World Map,High,Resolved,2024-10-24,2024-11-20,PC,Oceania,LiveOps,Performance,M4,High
2616,Build Mode,Medium,Resolved,2024-10-21,2024-11-17,PlayStation,South America,Expansion Pack,Audio,M2,Medium
2617,Multiplayer,Low,Resolved,2025-01-16,2025-01-22,Xbox,Oceania,Platform,Expansion Pack,M5,Medium
2618,Multiplayer,Medium,Investigating,2024-08-04,,Mac,Europe,Platform,Gameplay,M5,Low
2619,Occults,High,Investigating,2024-05-07,,Mac,Africa,LiveOps,UI,M7,Medium
2620,Mods & Custom Content,Low,Resolved,2025-03-12,2025-04-02,Xbox,South America,Audio,UI,M3,Medium
2621,Occults,Medium,Resolved,2025-04-02,2025-04-12,Mac,Asia,Build Mode,Mods & Custom Content,M3,Low
2622,Social Interactions,Critical,Investigating,2024-10-16,,PlayStation,Oceania,LiveOps,Expansion Pack,M7,High
2623,UI,High,New,2024-05-29,,Mac,South America,Audio,Network,M3,Low
2624,Build Mode,Medium,Resolved,2024-10-17,2024-10-28,PlayStation,Europe,Expansion Pack,Audio,M4,High
2625,Social Interactions,High,New,2024-11-21,,Xbox,Asia,Expansion Pack,UI,M3,Medium
2626,Careers,Low,Investigating,2024-10-28,,Xbox,North America,Build Mode,Graphics,M1,Medium
2627,Occults,Medium,Resolved,2025-04-10,2025-04-21,Xbox,Europe,CAS,Audio,M6,Medium
2628,Social Interactions,Medium,Resolved,2025-04-14,2025-05-06,PlayStation,South America,LiveOps,Expansion Pack,M6,Low
2629,Social Interactions,Medium,Resolved,2025-03-25,2025-04-22,PC,Asia,Graphics,Gameplay,M1,Low
2630,Aging System,Low,Resolved,2024-06-05,2024-07-01,Xbox,South America,Expansion Pack,Expansion Pack,M4,Medium
2631,Seasons,Medium,Resolved,2025-02-27,2025-03-10,PC,Oceania,UI/UX,Expansion Pack,M4,Medium
2632,Multiplayer,Low,Resolved,2024-11-12,2024-12-11,Mac,Asia,Platform,Network,M1,High
2633,Build Mode,Medium,New,2024-08-29,,Xbox,South America,Build Mode,Mods & Custom Content,M3,Medium
2634,Audio,Critical,Resolved,2024-12-23,2025-01-15,Xbox,North America,Graphics,Performance,M3,High
2635,Careers,Low,Resolved,2025-01-22,2025-01-24,Mac,Africa,Expansion Pack,Mods & Custom Content,M4,Medium
2636,Seasons,Critical,Resolved,2025-04-02,2025-04-30,PC,Oceania,Platform,UI,M5,Medium
2637,Occults,High,Resolved,2025-01-24,2025-02-18,Xbox,Europe,Expansion Pack,Network,M2,Low
2638,Live Mode,High,New,2024-04-24,,Mac,South America,Platform,Network,M1,High
2639,World Map,Medium,Resolved,2024-05-12,2024-05-19,PlayStation,Europe,Graphics,Mods & Custom Content,M3,Medium
2640,Aspirations,Low,Resolved,2024-07-22,2024-07-24,Mac,North America,Build Mode,Expansion Pack,M2,Low
2641,Audio,Medium,Resolved,2024-05-02,2024-05-09,Xbox,Oceania,Build Mode,UI,M1,Medium
2642,Skills,Medium,Resolved,2024-05-10,2024-05-15,Xbox,North America,Graphics,Graphics,M4,High
2643,World Map,Low,In Progress,2025-01-31,,PlayStation,South America,Graphics,Expansion Pack,M2,Medium
2644,Aspirations,Medium,New,2024-10-20,,PlayStation,Oceania,LiveOps,Mods & Custom Content,M7,Medium
2645,Tutorial,Low,Resolved,2024-12-04,2024-12-29,PlayStation,Oceania,Build Mode,Audio,M7,Medium
2646,Graphics,Medium,Resolved,2024-10-18,2024-11-06,Xbox,Asia,LiveOps,UI,M4,Medium
2647,Audio,High,Resolved,2024-09-17,2024-10-03,PC,South America,Platform,Mods & Custom Content,M3,Low
2648,Live Mode,Low,Resolved,2024-12-30,2025-01-11,Xbox,Europe,Build Mode,Graphics,M5,Medium
2649,Bug Fixes,High,Resolved,2024-05-18,2024-06-08,PC,South America,Expansion Pack,Expansion Pack,M3,Medium
2650,Audio,Low,Resolved,2024-10-31,2024-11-24,PlayStation,Oceania,Platform,Network,M2,Medium
2651,Mods & Custom Content,Critical,Resolved,2024-11-29,2024-12-06,Xbox,North America,LiveOps,Graphics,M3,Medium
2652,Live Mode,Low,Investigating,2024-07-28,,Mac,Asia,Expansion Pack,Expansion Pack,M1,Low
2653,Bug Fixes,High,Resolved,2024-08-09,2024-08-29,PlayStation,North America,UI/UX,Gameplay,M6,High
2654,Audio,Medium,Won't Fix,2024-10-22,2024-11-15,PC,Asia,CAS,Mods & Custom Content,M4,Medium
2655,Social Interactions,Medium,Resolved,2024-07-01,2024-07-22,PC,Asia,Graphics,Expansion Pack,M4,Medium
2656,Occults,High,In Progress,2025-02-07,,PC,Oceania,Expansion Pack,Performance,M3,Medium
2657,Build Mode,Medium,Investigating,2024-10-31,,PC,Asia,Audio,UI,M6,Low
2658,Pets,Medium,Resolved,2024-09-08,2024-09-27,PlayStation,North America,Expansion Pack,Audio,M7,Medium
2659,Mods & Custom Content,Low,Resolved,2024-12-06,2024-12-24,PC,Asia,UI/UX,UI,M1,Medium
2660,Aging System,High,Resolved,2025-02-17,2025-02-27,Mac,Africa,UI/UX,Audio,M4,Medium
2661,World Map,High,Resolved,2024-12-23,2024-12-29,Mac,North America,Build Mode,Network,M5,Low
2662,Multiplayer,Critical,Resolved,2024-05-12,2024-06-11,Mac,Africa,Graphics,UI,M7,Medium
2663,Social Interactions,Medium,Resolved,2024-12-29,2025-01-28,Xbox,South America,CAS,Gameplay,M2,Low
2664,Graphics,Low,Resolved,2025-01-10,2025-01-22,PlayStation,Africa,Expansion Pack,UI,M3,High
2665,Occults,High,In Progress,2025-02-21,,PlayStation,Europe,Expansion Pack,Performance,M6,Low
2666,Tutorial,High,Resolved,2024-05-09,2024-05-20,PC,Africa,CAS,Gameplay,M2,High
2667,Seasons,High,Resolved,2024-05-19,2024-06-01,PC,South America,Graphics,Network,M7,Medium
2668,Expansion Pack,Medium,Won't Fix,2024-09-24,2024-10-01,PlayStation,Africa,UI/UX,Graphics,M6,Low
2669,Audio,High,Resolved,2024-09-30,2024-10-18,Mac,Asia,Audio,Performance,M3,High
2670,Bug Fixes,Medium,Resolved,2024-11-26,2024-12-16,Mac,North America,UI/UX,Performance,M1,Medium
2671,Live Mode,Critical,Resolved,2024-08-09,2024-09-07,PlayStation,Oceania,Platform,Gameplay,M2,Low
2672,Graphics,High,Resolved,2025-01-14,2025-02-04,PC,Asia,Build Mode,Graphics,M2,Low
2673,Occults,Low,Resolved,2025-01-14,2025-01-15,PC,North America,Platform,Network,M5,Medium
2674,Social Interactions,High,Resolved,2024-05-31,2024-06-11,Xbox,Europe,CAS,Network,M3,Low
2675,Expansion Pack,Low,Resolved,2025-01-02,2025-01-08,PlayStation,Asia,Audio,Graphics,M4,Medium
2676,Expansion Pack,Low,Won't Fix,2024-12-30,2025-01-19,PC,Oceania,Platform,Expansion Pack,M6,Medium
2677,Seasons,Medium,Resolved,2024-06-16,2024-07-15,Mac,Oceania,CAS,Performance,M7,Medium
2678,Seasons,Critical,Resolved,2025-04-01,2025-04-06,Mac,Oceania,UI/UX,Mods & Custom Content,M3,High
2679,Tutorial,Medium,Resolved,2024-10-26,2024-11-16,Xbox,Europe,LiveOps,UI,M6,Low
2680,Build Mode,Low,Resolved,2025-01-29,2025-02-28,Mac,Europe,Expansion Pack,Mods & Custom Content,M2,Medium
2681,Graphics,Low,Resolved,2025-01-06,2025-01-21,PC,North America,Graphics,Audio,M5,Medium
2682,Graphics,Medium,Resolved,2024-06-18,2024-06-23,PC,Europe,Expansion Pack,Gameplay,M3,Medium
2683,Careers,Medium,In Progress,2024-06-03,,PC,Oceania,Audio,Expansion Pack,M1,High
2684,Multiplayer,Low,Resolved,2025-01-28,2025-02-15,Xbox,Asia,CAS,Mods & Custom Content,M3,Medium
2685,Tutorial,Critical,Investigating,2024-07-25,,PC,Oceania,LiveOps,Audio,M7,Low
2686,Careers,Medium,Resolved,2025-03-08,2025-04-01,PlayStation,Europe,LiveOps,Gameplay,M4,Medium
2687,Mods & Custom Content,Low,Investigating,2025-01-25,,Xbox,Africa,Graphics,Expansion Pack,M3,Medium
2688,Tutorial,High,In Progress,2024-04-28,,PC,Europe,Platform,Graphics,M4,Medium
2689,Bug Fixes,Low,New,2025-02-07,,PC,North America,Build Mode,Expansion Pack,M1,High
2690,Aging System,Critical,Resolved,2024-07-26,2024-08-14,PC,Africa,LiveOps,UI,M5,Low
2691,Audio,High,Resolved,2024-05-11,2024-06-05,PlayStation,Oceania,Build Mode,Performance,M6,Medium
2692,Expansion Pack,Low,Resolved,2025-01-03,2025-01-22,PC,Asia,Build Mode,Audio,M4,Low
2693,Social Interactions,Medium,Resolved,2024-11-15,2024-11-27,PC,Africa,Expansion Pack,UI,M2,Medium
2694,Audio,High,Resolved,2024-05-16,2024-05-17,Xbox,Oceania,Platform,Network,M4,Medium
2695,Occults,Medium,Resolved,2024-10-01,2024-10-30,Mac,Africa,Audio,Graphics,M7,Medium
2696,Graphics,Low,Resolved,2024-08-27,2024-09-01,PlayStation,South America,CAS,Expansion Pack,M4,High
2697,Aspirations,Low,Resolved,2024-10-17,2024-11-03,Mac,South America,CAS,Audio,M5,Medium
2698,UI,Low,Resolved,2024-11-11,2024-11-22,Mac,North America,Graphics,Network,M3,Medium
2699,Seasons,High,Resolved,2024-08-30,2024-09-19,Xbox,Asia,Graphics,Audio,M1,High
2700,Seasons,Low,Resolved,2024-07-20,2024-08-10,Mac,South America,Graphics,Network,M7,Low
2701,Tutorial,Medium,Resolved,2024-05-25,2024-05-29,PlayStation,Asia,Build Mode,Audio,M5,Medium
2702,Social Interactions,Low,Resolved,2024-11-14,2024-11-17,PC,Africa,Platform,Mods & Custom Content,M5,Medium
2703,Create-a-Sim,Medium,Resolved,2025-01-07,2025-01-31,Mac,Asia,Audio,Graphics,M7,Low
2704,Careers,Medium,Resolved,2024-07-10,2024-08-06,Mac,Europe,CAS,Performance,M2,Medium
2705,World Map,High,Resolved,2024-10-21,2024-11-16,Mac,South America,Platform,Expansion Pack,M5,Low
2706,Create-a-Sim,Critical,Resolved,2024-05-04,2024-05-29,PC,Asia,LiveOps,UI,M2,High
2707,Careers,High,Resolved,2025-02-27,2025-03-02,Xbox,Oceania,Build Mode,Network,M7,High
2708,Skills,Low,Resolved,2024-07-16,2024-08-09,PlayStation,South America,LiveOps,Network,M2,Medium
2709,Social Interactions,Medium,New,2024-10-07,,PlayStation,Oceania,Platform,Performance,M4,Low
2710,World Map,Medium,Resolved,2024-09-05,2024-09-29,PC,North America,Audio,Network,M4,Medium
2711,Seasons,Low,Resolved,2024-06-11,2024-07-03,PC,Europe,UI/UX,Network,M3,Medium
2712,Graphics,Medium,Investigating,2025-03-24,,PC,Oceania,Graphics,Mods & Custom Content,M3,High
2713,Aspirations,Low,Won't Fix,2025-02-25,2025-02-28,PlayStation,Europe,Expansion Pack,Expansion Pack,M4,Medium
